Klient,"Oczekiwany termin realizacji","Termin potwierdzony","Zewn. nr zamówienia",Produkt,Sztuk,"Uwagi dla wszystkich","Uwagi niewidoczne dla produkcji","Atrybut 1 (opcjonalnie)","Atrybut 2 (opcjonalnie)","Atrybut 3 (opcjonalnie)"
"Valeo Tychy",,,,,,,,,,
"Valeo Tychy",,,,,,,,,,
"Valeo Tychy",,,,,,,,,,
"Valeo Tychy",,,Reference,Description,MIHI,,,,,
"Valeo Tychy",,,,,,,,,,
"Valeo Tychy",,,395000,"Obwoluta C1",,,,,,
"Valeo Tychy",,,395001,"Pudło C1",,,,,,
"Valeo Tychy",,,395002,Przekładka,,,,,,
"Valeo Tychy",,,395002W,"Wypełniacz H4 po 80",,,,,,
"Valeo Tychy",,,395006,"PALETA FITO",,,,,,
"Valeo Tychy",,,395014,"Tektura w Rolce",,,,,,
"Valeo Tychy",,,395016,Przekładka,,,,,,
"Valeo Tychy",,,395017,Przekładka,,,,,,
"Valeo Tychy",,,395018,"Kratownica BMW",,,,,,
"Valeo Tychy",,,395019,"Perzekładka BMW",,,,,,
"Valeo Tychy",,,395023,"Papier antykorozyjny",,,,,,
"Valeo Tychy",,,395029,Kratownica,,,,,,
"Valeo Tychy",,,395031A,"INDUKTOR 12",,,,,,
"Valeo Tychy",,,395031B,"INDUKTOR 8",,,,,,
"Valeo Tychy",,,395031C,"Switch CAP",,,,,,
"Valeo Tychy",,,395036,"Wkłady CED",,,,,,
"Valeo Tychy",,,395037,"Wkłady INDUIT",,,,,,
"Valeo Tychy",,,395043,"Kratownica H4 ( 45 )",,,,,,
"Valeo Tychy",,,395047,"RAMKA FITO",,,,,,
"Valeo Tychy",,,395048,"Słupek FITO",,,,,,
"Valeo Tychy",,,395049,Przekładka,,,,,,
"Valeo Tychy",,,395051,Kratownica,,,,,,
"Valeo Tychy",,,395054,"Pudełko REDUKTOR",,,,,,
"Valeo Tychy",,,395056,"Pudełko CED/ TWORNIK",,,,,,
"Valeo Tychy",,,395061,"Pudełko Galia C13",,,,,,
"Valeo Tychy",,,395061A,"Kit Szczotkotrzymacz",,,,,,
"Valeo Tychy",,,395072,"Pudełko Białe ( na prototypy ) ",,,,,,
"Valeo Tychy",,,395074,Kratownica,,,,,,
"Valeo Tychy",,,395079,"Stabilizator Nissan ",,,,,,
"Valeo Tychy",,,395083,"Sciana boczna SL",,,,,,
"Valeo Tychy",,,395086,"1/2 Pudła C1 ",,,,,,
"Valeo Tychy",,,395100,"Kratownica ESM",,,,,,
"Valeo Tychy",,,395101,Kratownica,,,,,,
"Valeo Tychy",,,395103,"CTN KIT",,,,,,
"Valeo Tychy",,,395120,"Kratownica DAIMLER",,,,,,
"Valeo Tychy",,,395121,"Przekładka Daimler",,,,,,
"Valeo Tychy",,,395122,"kratownica Ford",,,,,,
"Valeo Tychy",,,395017A,Przekładka,,,,,,
"Valeo Tychy",,,395026A,"Kratownica (96 )",,,,,,
"Valeo Tychy",,,395026F,"Kratownica Ford",,,,,,
"Valeo Tychy",,,395027SL,Przekładka,,,,,,
"Valeo Tychy",,,395054B,"Pudełko Bendix",,,,,,
"Valeo Tychy",,,395076A,"AVTOVAZ KIT",,,,,,
"Valeo Tychy",,,395076H4,"H4 KIT",,,,,,
"Valeo Tychy",,,PVNR08,Przekładka,,,,,,
"Valeo Tychy",,,395124,"FORD  RUSSIA KIT ",,,,,,
"Valeo Tychy",,,395068,"paleta do kitów",,,,,,
"Valeo Tychy",,,395223A,"KIT 342826",,,,,,
"Valeo Tychy",,,"IRAN BOX","INDUKTOR IRAN",,,,,,
"Valeo Tychy",,,395151,"Kratownica Daimler Blacha TS12-101",,,,,,
"Valeo Tychy",,,395152,"Przekładka Daimler Blacha TS12-101",,,,,,
"Valeo Tychy",,,395153,"Kratownica Daimler Plastik TS12-101",,,,,,
"Valeo Tychy",,,395104B,"Przekładka PP 1080-910",,,,,,
"Valeo Tychy",,,395300,"Kit 395076A4 wzmocniony",,,,,,
"Valeo Tychy",,,395093,"Kątownik 50-50-5-500 ",,,,,,
"Valeo Tychy",,,"BMW KRA ","BMW małe ( kratownica)",,,,,,
"Valeo Tychy",,,395208,"PSA Afryka (24 szt)",,,,,,
"Valeo Tychy",,,395050B,"VW Krata dla D7R2",,,,,,
"Valeo Tychy",,,"Transportation mode",,,,,,,
"Valeo Tychy",,,,,,,,,,
"Valeo Tychy",,,,,,,,,,
